, City, State[c], 2018estimate, 2010Census, Change, 2016 land area, 2016 population density, Location,URL
223,Norman,Oklahoma," 123,471"," 110,925", +11.31%, 178.8 sq mi, 463.1 km2, 683/sq mi,https://en.wikipedia.org/wiki/Norman
224,Columbia,Missouri," 123,180"," 108,500", +13.53%, 65.0 sq mi, 168.3 km2," 1,856/sq mi",https://en.wikipedia.org/wiki/Columbia
225,Abilene,Texas," 122,999"," 117,063", +5.07%, 106.7 sq mi, 276.4 km2," 1,146/sq mi",https://en.wikipedia.org/wiki/Abilene
226,Wilmington,NorthCarolina," 122,607"," 106,476", +15.15%, 51.6 sq mi, 133.6 km2," 2,278/sq mi",https://en.wikipedia.org/wiki/Wilmington
227,Hartford,Connecticut," 122,587"," 124,775", −1.75%, 17.4 sq mi, 45.1 km2," 7,083/sq mi",https://en.wikipedia.org/wiki/Hartford
228,Victorville,California," 122,312"," 115,903", +5.53%, 73.3 sq mi, 189.8 km2," 1,668/sq mi",https://en.wikipedia.org/wiki/Victorville
229,Pearland,Texas," 122,149"," 91,252", +33.86%, 46.3 sq mi, 119.9 km2," 2,453/sq mi",https://en.wikipedia.org/wiki/Pearland
230,Vallejo,California," 121,913"," 115,942", +5.15%, 30.7 sq mi, 79.5 km2," 3,951/sq mi",https://en.wikipedia.org/wiki/Vallejo
231,Ann_Arbor,Michigan," 121,890"," 113,934", +6.98%, 28.1 sq mi, 72.8 km2," 4,298/sq mi",https://en.wikipedia.org/wiki/Ann_Arbor
232,Berkeley,California," 121,643"," 112,580", +8.05%, 10.5 sq mi, 27.2 km2," 11,547/sq mi",https://en.wikipedia.org/wiki/Berkeley
233,Allentown,Pennsylvania," 121,433"," 118,032", +2.88%, 17.5 sq mi, 45.3 km2," 6,882/sq mi",https://en.wikipedia.org/wiki/Allentown
234,Richardson,Texas," 120,981"," 99,223", +21.93%, 28.6 sq mi, 74.1 km2," 3,963/sq mi",https://en.wikipedia.org/wiki/Richardson
235,Odessa,Texas," 120,568"," 99,940", +20.64%, 45.2 sq mi, 117.1 km2," 2,608/sq mi",https://en.wikipedia.org/wiki/Odessa
236,Arvada,Colorado," 120,492"," 106,433", +13.21%, 38.6 sq mi, 100.0 km2," 3,043/sq mi",https://en.wikipedia.org/wiki/Arvada
237,Cambridge,Massachusetts," 118,977"," 105,162", +13.14%, 6.4 sq mi, 16.6 km2," 17,289/sq mi",https://en.wikipedia.org/wiki/Cambridge
238,Sugar_Land,Texas," 118,600"," 78,817", +50.48%, 34.0 sq mi, 88.1 km2," 3,488/sq mi",https://en.wikipedia.org/wiki/Sugar_Land
239,Beaumont,Texas," 118,428"," 118,296", +0.11%, 82.1 sq mi, 212.6 km2," 1,441/sq mi",https://en.wikipedia.org/wiki/Beaumont
240,Lansing,Michigan," 118,427"," 114,297", +3.61%, 39.1 sq mi, 101.3 km2," 2,967/sq mi",https://en.wikipedia.org/wiki/Lansing
241,Evansville,Indiana," 117,963"," 117,429", +0.45%, 47.3 sq mi, 122.5 km2," 2,526/sq mi",https://en.wikipedia.org/wiki/Evansville
242,Rochester,Minnesota," 116,961"," 106,769", +9.55%, 54.6 sq mi, 141.4 km2," 2,088/sq mi",https://en.wikipedia.org/wiki/Rochester
243,Independence,Missouri," 116,925"," 116,830", +0.08%, 77.8 sq mi, 201.5 km2," 1,504/sq mi",https://en.wikipedia.org/wiki/Independence
244,Fairfield,California," 116,884"," 105,321", +10.98%, 40.9 sq mi, 105.9 km2," 2,806/sq mi",https://en.wikipedia.org/wiki/Fairfield
245,Provo,Utah," 116,702"," 112,488", +3.75%, 41.7 sq mi, 108.0 km2," 2,803/sq mi",https://en.wikipedia.org/wiki/Provo
246,Clearwater,Florida," 116,478"," 107,685", +8.17%, 25.9 sq mi, 67.1 km2," 4,415/sq mi",https://en.wikipedia.org/wiki/Clearwater
247,College_Station,Texas," 116,218"," 93,857", +23.82%, 51.0 sq mi, 132.1 km2," 2,199/sq mi",https://en.wikipedia.org/wiki/College_Station
248,West_Jordan,Utah," 116,046"," 103,712", +11.89%, 32.3 sq mi, 83.7 km2," 3,520/sq mi",https://en.wikipedia.org/wiki/West_Jordan
249,Carlsbad,California," 115,877"," 105,328", +10.02%, 37.7 sq mi, 97.6 km2," 3,023/sq mi",https://en.wikipedia.org/wiki/Carlsbad
250,El_Monte,California," 115,586"," 113,475", +1.86%, 9.6 sq mi, 24.9 km2," 12,063/sq mi",https://en.wikipedia.org/wiki/El_Monte
251,Murrieta,California," 114,985"," 103,466", +11.13%, 33.6 sq mi, 87.0 km2," 3,324/sq mi",https://en.wikipedia.org/wiki/Murrieta
252,Temecula,California," 114,742"," 100,097", +14.63%, 37.3 sq mi, 96.6 km2," 3,031/sq mi",https://en.wikipedia.org/wiki/Temecula
253,Springfield,Illinois," 114,694"," 116,250", −1.34%, 60.1 sq mi, 155.7 km2," 1,925/sq mi",https://en.wikipedia.org/wiki/Springfield
254,Palm_Bay,Florida," 114,194"," 103,190", +10.66%, 65.7 sq mi, 170.2 km2," 1,676/sq mi",https://en.wikipedia.org/wiki/Palm_Bay
255,Costa_Mesa,California," 113,615"," 109,960", +3.32%, 15.7 sq mi, 40.7 km2," 7,186/sq mi",https://en.wikipedia.org/wiki/Costa_Mesa
256,Westminster,Colorado," 113,479"," 106,114", +6.94%, 31.7 sq mi, 82.1 km2," 3,592/sq mi",https://en.wikipedia.org/wiki/Westminster
257,North_Charleston,SouthCarolina," 113,237"," 97,471", +16.18%, 73.7 sq mi, 190.9 km2," 1,483/sq mi",https://en.wikipedia.org/wiki/North_Charleston
258,Miami_Gardens,Florida," 113,069"," 107,167", +5.51%, 18.2 sq mi, 47.1 km2," 6,212/sq mi",https://en.wikipedia.org/wiki/Miami_Gardens
259,Manchester,NewHampshire," 112,525"," 109,565", +2.70%, 33.1 sq mi, 85.7 km2," 3,339/sq mi",https://en.wikipedia.org/wiki/Manchester
260,High_Point,NorthCarolina," 112,316"," 104,371", +7.61%, 55.2 sq mi, 143.0 km2," 2,015/sq mi",https://en.wikipedia.org/wiki/High_Point
261,Downey,California," 112,269"," 111,772", +0.44%, 12.4 sq mi, 32.1 km2," 9,134/sq mi",https://en.wikipedia.org/wiki/Downey
262,Clovis,California," 112,022"," 95,631", +17.14%, 24.2 sq mi, 62.7 km2," 4,404/sq mi",https://en.wikipedia.org/wiki/Clovis
263,Pompano_Beach,Florida," 111,954"," 99,845", +12.13%, 24.0 sq mi, 62.2 km2," 4,558/sq mi",https://en.wikipedia.org/wiki/Pompano_Beach
264,Pueblo,Colorado," 111,750"," 106,595", +4.84%, 53.6 sq mi, 138.8 km2," 2,058/sq mi",https://en.wikipedia.org/wiki/Pueblo
265,Elgin,Illinois," 111,683"," 108,188", +3.23%, 37.4 sq mi, 96.9 km2," 2,998/sq mi",https://en.wikipedia.org/wiki/Elgin
266,Lowell,Massachusetts," 111,670"," 106,519", +4.84%, 13.6 sq mi, 35.2 km2," 8,129/sq mi",https://en.wikipedia.org/wiki/Lowell
267,Antioch,California," 111,535"," 102,372", +8.95%, 29.4 sq mi, 76.1 km2," 3,772/sq mi",https://en.wikipedia.org/wiki/Antioch
268,West_Palm_Beach,Florida," 111,398"," 99,919", +11.49%, 55.1 sq mi, 142.7 km2," 1,963/sq mi",https://en.wikipedia.org/wiki/West_Palm_Beach
269,Peoria,Illinois," 111,388"," 115,007", −3.15%, 48.2 sq mi, 124.8 km2," 2,371/sq mi",https://en.wikipedia.org/wiki/Peoria
270,Everett,Washington," 111,262"," 103,019", +8.00%, 33.3 sq mi, 86.2 km2," 3,275/sq mi",https://en.wikipedia.org/wiki/Everett
271,Ventura,California," 111,128"," 106,433", +4.41%, 21.8 sq mi, 56.5 km2," 5,027/sq mi",https://en.wikipedia.org/wiki/Ventura
272,Centennial,Colorado," 110,831"," 100,377", +10.41%, 29.5 sq mi, 76.4 km2," 3,727/sq mi",https://en.wikipedia.org/wiki/Centennial
273,Lakeland,Florida," 110,516"," 97,422", +13.44%, 65.9 sq mi, 170.7 km2," 1,615/sq mi",https://en.wikipedia.org/wiki/Lakeland
274,Gresham,Oregon," 110,158"," 105,594", +4.32%, 23.3 sq mi, 60.3 km2," 4,786/sq mi",https://en.wikipedia.org/wiki/Gresham
275,Richmond,California," 110,146"," 103,701", +6.21%, 30.1 sq mi, 78.0 km2," 3,648/sq mi",https://en.wikipedia.org/wiki/Richmond
276,Billings,Montana," 109,550"," 104,170", +5.16%, 43.7 sq mi, 113.2 km2," 2,525/sq mi",https://en.wikipedia.org/wiki/Billings
277,Inglewood,California," 109,419"," 109,673", −0.23%, 9.1 sq mi, 23.6 km2," 12,160/sq mi",https://en.wikipedia.org/wiki/Inglewood
278,Broken_Arrow,Oklahoma," 109,171"," 98,850", +10.44%, 61.7 sq mi, 159.8 km2," 1,741/sq mi",https://en.wikipedia.org/wiki/Broken_Arrow
279,Sandy_Springs,Georgia," 108,797"," 93,853", +15.92%, 37.7 sq mi, 97.6 km2," 2,804/sq mi",https://en.wikipedia.org/wiki/Sandy_Springs
280,Jurupa_Valley,California," 108,393", 0, NA[ab], 42.9 sq mi, 111.1 km2," 2,414/sq mi",https://en.wikipedia.org/wiki/Jurupa_Valley
281,Hillsboro,Oregon," 108,389"," 91,611", +18.31%, 25.0 sq mi, 64.7 km2," 4,207/sq mi",https://en.wikipedia.org/wiki/Hillsboro
282,Waterbury,Connecticut," 108,093"," 110,366", −2.06%, 28.5 sq mi, 73.8 km2," 3,799/sq mi",https://en.wikipedia.org/wiki/Waterbury
283,Santa_Maria,California," 107,408"," 99,553", +7.89%, 22.8 sq mi, 59.1 km2," 4,662/sq mi",https://en.wikipedia.org/wiki/Santa_Maria
284,Boulder,Colorado," 107,353"," 97,385", +10.24%, 24.8 sq mi, 64.2 km2," 4,358/sq mi",https://en.wikipedia.org/wiki/Boulder
285,Greeley,Colorado," 107,348"," 92,889", +15.57%, 47.8 sq mi, 123.8 km2," 2,176/sq mi",https://en.wikipedia.org/wiki/Greeley
286,Daly_City,California," 107,008"," 101,123", +5.82%, 7.6 sq mi, 19.7 km2," 14,009/sq mi",https://en.wikipedia.org/wiki/Daly_City
287,Meridian,Idaho," 106,804"," 75,092", +42.23%, 29.8 sq mi, 77.2 km2," 3,584/sq mi",https://en.wikipedia.org/wiki/Meridian
288,Lewisville,Texas," 106,586"," 95,290", +11.85%, 36.7 sq mi, 95.1 km2," 2,852/sq mi",https://en.wikipedia.org/wiki/Lewisville
289,Davie,Florida," 106,558"," 91,992", +15.83%, 34.9 sq mi, 90.4 km2," 2,919/sq mi",https://en.wikipedia.org/wiki/Davie
290,West_Covina,California," 106,311"," 106,098", +0.20%, 16.0 sq mi, 41.4 km2," 6,740/sq mi",https://en.wikipedia.org/wiki/West_Covina
291,League_City,Texas," 106,244"," 83,560", +27.15%, 51.2 sq mi, 132.6 km2," 1,992/sq mi",https://en.wikipedia.org/wiki/League_City
292,Tyler,Texas," 105,729"," 96,900", +9.11%, 56.6 sq mi, 146.6 km2," 1,852/sq mi",https://en.wikipedia.org/wiki/Tyler
293,Norwalk,California," 105,120"," 105,549", −0.41%, 9.7 sq mi, 25.1 km2," 10,946/sq mi",https://en.wikipedia.org/wiki/Norwalk
294,San_Mateo,California," 105,025"," 97,207", +8.04%, 12.1 sq mi, 31.3 km2," 8,592/sq mi",https://en.wikipedia.org/wiki/San_Mateo
295,Green_Bay,Wisconsin," 104,879"," 104,057", +0.79%, 45.4 sq mi, 117.6 km2," 2,316/sq mi",https://en.wikipedia.org/wiki/Green_Bay
296,Wichita_Falls,Texas," 104,576"," 104,553", +0.02%, 72.2 sq mi, 187.0 km2," 1,450/sq mi",https://en.wikipedia.org/wiki/Wichita_Falls
297,Sparks,Nevada," 104,246"," 90,264", +15.49%, 35.9 sq mi, 93.0 km2," 2,810/sq mi",https://en.wikipedia.org/wiki/Sparks
298,Lakewood,NewJersey," 104,157"," 92,843", +12.19%, 24.7 sq mi, 64.0 km2," 4,079/sq mi",https://en.wikipedia.org/wiki/Lakewood
299,Burbank,California," 103,695"," 103,340", +0.34%, 17.4 sq mi, 45.1 km2," 6,003/sq mi",https://en.wikipedia.org/wiki/Burbank
300,Rialto,California," 103,440"," 99,171", +4.30%, 22.3 sq mi, 57.8 km2," 4,633/sq mi",https://en.wikipedia.org/wiki/Rialto
301,Allen,Texas," 103,383"," 84,246", +22.72%, 27.1 sq mi, 70.2 km2," 3,715/sq mi",https://en.wikipedia.org/wiki/Allen
302,El_Cajon,California," 103,241"," 99,478", +3.78%, 14.5 sq mi, 37.6 km2," 7,156/sq mi",https://en.wikipedia.org/wiki/El_Cajon
303,Las_Cruces,NewMexico," 102,926"," 97,618", +5.44%, 76.9 sq mi, 199.2 km2," 1,323/sq mi",https://en.wikipedia.org/wiki/Las_Cruces
304,Renton,Washington," 102,153"," 90,927", +12.35%, 23.4 sq mi, 60.6 km2," 4,314/sq mi",https://en.wikipedia.org/wiki/Renton
305,Davenport,Iowa," 102,085"," 99,685", +2.41%, 62.9 sq mi, 162.9 km2," 1,631/sq mi",https://en.wikipedia.org/wiki/Davenport
306,South_Bend,Indiana," 101,860"," 101,168", +0.68%, 41.4 sq mi, 107.2 km2," 2,457/sq mi",https://en.wikipedia.org/wiki/South_Bend
307,Vista,California," 101,224"," 93,834", +7.88%, 18.7 sq mi, 48.4 km2," 5,436/sq mi",https://en.wikipedia.org/wiki/Vista
308,Tuscaloosa,Alabama," 101,113"," 90,468", +11.77%, 71.7 sq mi, 185.7 km2," 1,399/sq mi",https://en.wikipedia.org/wiki/Tuscaloosa
309,Clinton,Michigan," 100,800"," 96,796", +4.14%, 28.1 sq mi, 72.8 km2," 3,573/sq mi",https://en.wikipedia.org/wiki/Clinton
310,Edison,NewJersey," 100,693"," 99,967", +0.73%, 30.1 sq mi, 78.0 km2," 3,389/sq mi",https://en.wikipedia.org/wiki/Edison
311,Woodbridge,NewJersey," 100,450"," 99,585", +0.87%, 23.3 sq mi, 60.3 km2," 4,351/sq mi",https://en.wikipedia.org/wiki/Woodbridge
312,San_Angelo,Texas," 100,215"," 93,200", +7.53%, 59.9 sq mi, 155.1 km2," 1,681/sq mi",https://en.wikipedia.org/wiki/San_Angelo
313,Kenosha,Wisconsin," 100,164"," 99,218", +0.95%, 28.0 sq mi, 72.5 km2," 3,577/sq mi",https://en.wikipedia.org/wiki/Kenosha
314,Vacaville,California," 100,154"," 92,428", +8.36%, 29.0 sq mi, 75.1 km2," 3,449/sq mi",https://en.wikipedia.org/wiki/Vacaville
